PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR,Vol
PB563347,2008-08-02:07:75:02,1,JS-SS400,C0,19.1,2702,50922,61890,3호기,1,1179,212,1163,53,342,1006,1,10,3조,23.55029318672091
PB563348,2008-08-02:07:75:16,1,LR-B,C0,20.14,2701,40512,51900,3호기,2,1180,182,1163,68,342,1019,1,8,2조,23.550472419362084
PB563349,2008-08-02:07:75:14,1,KS-SM490A,C0,20.1,2472,51122,59820,1호기,1,1184,199,1169,44,360,1025,1,8,2조,23.550170128791112
PB563350,2008-08-02:08:80:45,0,BV-B,C0,20.44,2411,42987,49890,1호기,2,1171,185,1162,67,342,990,1,8,3조,23.550398739153646
PB563351,2008-08-02:08:80:05,1,LR-A,C0,18.62,2745,54258,108850,3호기,1,1178,69,1165,57,342,1005,1,10,1조,39.250268024935544
PB563352,2008-08-02:08:80:24,0,LR-A,C0,18.11,2595,54917,40520,2호기,1,1176,88,1163,52,342,987,1,10,2조,15.700259099180903
PB563353,2008-08-02:08:80:38,0,JS-SM400B,C0,18.1,2520,42675,61120,2호기,2,1171,63,1160,76,342,958,1,10,3조,31.400076065040285
PB563354,2008-08-02:08:81:50,1,JS-SM400B,C0,18.1,2520,42675,61120,3호기,2,1180,67,1163,68,342,1027,1,10,3조,31.400076065040285
PB563355,2008-08-02:08:81:00,1,JS-SM400B,C0,18.1,2520,42675,61120,1호기,1,1175,75,1165,42,342,1031,1,10,3조,31.400076065040285
PB563356,2008-08-02:08:81:53,1,LR-A,C0,15.08,2523,50959,30440,1호기,2,1171,59,1163,70,342,1002,1,10,3조,15.700199070121197
PB563357,2008-08-02:08:81:21,0,NV-A,C0,15.08,2523,50089,29920,2호기,1,1165,74,1160,55,342,962,1,10,3조,15.7000355509611
PB563358,2008-08-02:08:81:33,0,JS-SM490YB,C0,16.09,2512,37380,35580,2호기,2,1182,82,1162,64,342,973,1,10,2조,23.550003040770036
PB563359,2008-08-02:08:82:08,0,KR-A,C0,15.08,2520,54674,16310,3호기,1,1180,78,1162,53,342,998,1,10,1조,7.850028442303912
PB563360,2008-08-02:08:82:51,0,NV-A,C0,16.6,2675,54392,18960,3호기,2,1182,74,1164,55,342,982,1,10,3조,7.850032060094015
PB563361,2008-08-02:08:82:11,0,LR-A,C0,16.39,2405,42303,13090,1호기,1,1168,64,1161,52,342,984,1,10,1조,7.850086548869871
PB563362,2008-08-02:08:83:15,0,LR-A,C0,15.89,2562,46342,14810,1호기,2,1174,61,1165,73,342,978,1,10,4조,7.850137486997334
PB563363,2008-08-02:08:83:39,0,LR-A,C0,16.09,2655,52841,35440,2호기,1,1169,77,1159,58,342,968,1,10,3조,15.700089052767943
PB563364,2008-08-02:08:83:02,0,BV-AH32,C0,15.08,2611,43709,40530,2호기,2,1177,77,1161,71,342,1000,1,10,1조,23.550358346816253
PB563365,2008-08-02:08:84:00,1,NV-A32,C0,16.6,2481,42808,13840,3호기,1,1169,65,1158,67,342,1004,0,10,4조,7.850120076843363
PB563366,2008-08-02:08:84:44,1,LR-A,C0,14.07,2610,54254,62560,3호기,2,1169,73,1162,61,342,955,0,10,4조,31.40005235711786
PB563367,2008-08-02:08:84:18,0,NK-KA,C0,14.07,2555,52835,44730,1호기,1,1165,61,1158,57,342,960,1,10,4조,23.550069031969077
PB563368,2008-08-02:08:84:54,0,NV-A,C0,14.07,2558,49658,28060,1호기,2,1170,65,1161,70,342,964,1,10,2조,15.700150118033898
PB563369,2008-08-02:08:85:13,0,NV-A,C0,14.58,2615,54862,32840,2호기,1,1168,58,1158,58,342,959,1,10,4조,15.700095547903473
PB563370,2008-08-02:08:85:41,0,NK-KA,C0,13.06,2750,54906,61920,2호기,2,1167,66,1158,84,342,933,1,10,2조,31.400406559198064
PB563371,2008-08-02:08:85:54,0,GL-A,C0,13.06,2695,51901,14340,3호기,1,1165,70,1157,62,342,958,1,10,1조,7.850032941346687
PB563372,2008-08-02:08:85:43,0,NV-A,C0,13.57,2795,54444,32420,3호기,2,1168,72,1161,60,342,941,1,10,1조,15.700060476700752
PB563373,2008-08-02:09:90:04,0,LR-A,C0,18.41,2200,43624,41610,1호기,1,1160,49,1154,61,342,991,1,10,4조,23.55026301449905
PB563374,2008-08-02:09:90:13,0,BV-B,C0,18.4,2200,43176,41160,1호기,2,1165,60,1158,70,342,987,1,10,4조,23.550083819073837
PB563375,2008-08-02:09:90:06,0,LR-A,C0,18.61,2200,43497,27960,2호기,1,1150,57,1160,55,342,993,1,10,1조,15.700331003070664
PB563376,2008-08-02:09:92:56,0,A283-C,C0,18.15,2281,40770,53000,2호기,2,1163,73,1155,86,342,981,1,10,2조,31.400259954635498
PB563377,2008-08-02:09:92:41,1,SA283-C,C0,20.18,2281,43144,77950,3호기,1,1159,66,1155,80,342,1002,1,8,4조,39.25086798389572
PB563378,2008-08-02:09:92:29,1,SA283-C,C0,20.18,2240,39679,84480,3호기,2,1170,78,1159,59,342,1044,1,8,3조,47.100336136901156
PB563379,2008-08-02:09:93:01,1,LR-A,C0,20.43,2245,39828,14340,1호기,1,1157,55,1154,76,342,1007,1,8,1조,7.850113588828012
PB563380,2008-08-02:09:93:10,0,LR-A,C0,20.13,2200,39897,13870,1호기,2,1158,63,1156,87,342,975,1,8,2조,7.850001949935956
PB563381,2008-08-02:09:93:08,0,SA283-C,C0,20.18,2200,38019,66250,2호기,1,1151,63,1157,78,342,991,1,8,2조,39.25015266561644
PB563382,2008-08-02:09:93:58,1,SA283-C,C0,20.18,2200,38019,66250,2호기,2,1154,78,1154,87,342,979,0,8,4조,39.25015266561644
PB563383,2008-08-02:09:93:18,0,SA283-C,C0,20.18,2200,40687,85080,3호기,1,1162,59,1162,68,398,982,1,8,4조,47.10076594149505
PB563384,2008-08-02:09:94:46,1,KS-SM490A,C0,20.1,1929,34136,20780,3호기,2,1162,78,1158,73,360,1018,1,8,4조,15.700179882597263
PB563385,2008-08-02:09:94:36,1,KR-A,C0,22.66,2339,34345,42870,1호기,1,1150,57,1150,85,342,1010,1,8,1조,23.550483916538347
PB563386,2008-08-02:09:94:19,1,KR-A,C0,22.66,2339,34345,42870,1호기,2,1157,60,1156,85,342,1018,1,8,4조,23.550483916538347
PB563387,2008-08-02:09:94:08,1,SA283-C,C0,20.18,2379,34601,65200,2호기,1,1171,78,1158,66,342,1011,1,8,2조,39.25033260826065
PB563388,2008-08-02:09:94:00,1,SA283-C,C0,20.18,2200,38019,66250,2호기,2,1171,72,1166,69,342,1010,1,8,4조,39.25015266561644
PB563389,2008-08-02:09:94:51,1,SA283-C,C0,20.18,2200,38019,66250,3호기,1,1182,73,1164,67,342,1004,1,8,1조,39.25015266561644
PB563390,2008-08-02:09:95:40,1,SA283-C,C0,20.18,2200,37875,79200,3호기,2,1176,72,1162,68,342,1013,1,7,2조,47.10084487140488
PB563391,2008-08-02:09:95:30,0,SA283-C,C0,20.18,2200,38019,66250,1호기,1,1174,62,1165,65,342,999,1,8,2조,39.25015266561644
PB563392,2008-08-02:09:95:20,0,SA283-C,C0,20.18,2200,38019,66250,1호기,2,1172,61,1165,77,342,999,1,8,1조,39.25015266561644
PB563393,2008-08-02:09:95:19,1,A283-C,C0,26.24,2583,31256,83150,2호기,1,1165,73,1160,63,369,1026,1,8,3조,39.25008652476945
PB563394,2008-08-02:09:95:13,1,A283-C,C0,26.24,2583,31256,83150,2호기,2,1177,69,1177,65,395,1036,1,8,4조,39.25008652476945
PB563408,2008-08-02:10:00:16,1,LR-AH32,C0,17.1,2723,51159,37400,3호기,1,1179,81,1168,63,395,950,0,10,2조,15.700222374007856
PB563409,2008-08-02:10:00:37,0,NV-A32,C0,16.09,2593,49005,48150,3호기,2,1177,76,1166,64,361,977,1,10,2조,23.550348436175966
PB563410,2008-08-02:10:00:18,1,NV-A32,C0,16.09,2590,40289,26360,1호기,1,1193,66,1181,62,373,964,1,10,1조,15.700124983578757
PB563411,2008-08-02:10:00:25,1,NV-A32,C0,16.09,2590,40442,26460,1호기,2,1198,63,1180,75,385,944,1,10,1조,15.700063423189013
PB563412,2008-08-02:10:01:47,0,NV-A32,C0,15.08,2485,54560,16050,2호기,1,1117,58,1156,75,376,927,1,10,1조,7.850059354861246
PB563413,2008-08-02:10:01:20,1,NK-KA32,C0,15.08,2695,53568,17090,2호기,2,1202,93,1177,41,377,962,1,10,1조,7.850124050664334
PB563414,2008-08-02:10:01:49,0,GL-A32,C0,15.08,2770,54649,71680,3호기,1,1175,93,1162,46,250,955,1,10,4조,31.40036285302583
PB563415,2008-08-02:10:01:16,0,NV-A,C0,14.07,2565,54111,15330,3호기,2,1156,50,1168,76,371,947,1,10,1조,7.850098894658705
PB563416,2008-08-02:10:02:54,0,LR-A,C0,13.06,2695,54543,30140,1호기,1,1188,98,1170,41,246,951,1,10,4조,15.700094988611559
PB563417,2008-08-02:10:02:14,0,NV-A32,C0,12.56,2693,54195,14390,1호기,2,1173,63,1169,76,373,959,1,10,3조,7.850107074336711
PB563418,2008-08-02:10:02:27,0,GL-A32,C0,12.05,2732,48098,37290,2호기,1,1136,82,1149,54,279,961,1,10,3조,23.55036396475539
PB563419,2008-08-02:10:02:57,0,LR-A,C0,12.05,2557,32331,15640,2호기,2,1192,94,1167,44,277,971,1,10,1조,15.700006644500798
PB563420,2008-08-02:10:03:54,0,NV-A,C0,12.05,2298,35974,7820,3호기,1,1175,84,1163,58,272,984,1,10,4조,7.850204158201624
PB563421,2008-08-02:10:03:13,0,LR-AH32,C0,16.09,2381,43526,13090,3호기,2,1167,79,1162,59,261,1000,1,10,4조,7.8501047032818345
PB563422,2008-08-02:10:03:27,1,SA283-C,C0,20.18,2379,35291,66500,1호기,1,1173,89,1159,52,246,1001,1,8,3조,39.25021831869462
PB563423,2008-08-02:10:03:29,1,NV-A32,C0,19.12,2331,42759,14960,1호기,2,1184,85,1168,54,256,949,1,9,4조,7.850076557626051
PB563424,2008-08-02:10:04:32,0,JS-SM490YA,C0,19.1,2040,38774,35580,2호기,1,1146,81,1151,61,261,1000,1,10,2조,23.550590616246915
PB563425,2008-08-02:10:04:28,1,JS-SM490A,C0,30.13,2288,30730,33260,2호기,2,1150,87,1154,54,259,1010,1,8,1조,15.700176431162205
PB563426,2008-08-02:10:04:00,0,V42JBN3,C3,32.06,2200,30595,50820,3호기,1,1141,73,1153,65,258,921,1,8,2조,23.550384620599736
PB563427,2008-08-02:10:04:27,1,JS-SM400A,C0,100.34,2315,9547,17410,3호기,2,1144,85,1150,52,269,1050,1,6,3조,7.8506706177015495
PB563428,2008-08-02:10:04:06,1,JS-SM400A,C0,100.34,2315,9547,17410,1호기,1,1130,78,1137,61,268,1037,1,6,4조,7.8506706177015495
PB563429,2008-08-02:10:05:55,0,NV-A32,C0,19.13,2733,49754,20420,1호기,2,1164,72,1158,60,255,961,1,10,2조,7.850062856329408
PB563430,2008-08-02:10:05:27,0,NV-A32,C0,16.09,2690,54743,18600,2호기,1,1169,69,1160,64,257,977,1,10,4조,7.850115134028041
PB563431,2008-08-02:10:05:41,0,BV-AH32,C0,16.09,2471,43959,13720,2호기,2,1167,81,1158,55,259,995,1,10,3조,7.850142087469651
PB563432,2008-08-02:11:10:15,0,NK-KA32,C0,15.08,2568,51612,15690,3호기,1,1162,70,1158,63,246,965,1,10,1조,7.8501127420043435
PB563433,2008-08-02:11:10:48,0,GL-A32,C0,13.06,2783,49699,42540,3호기,2,1174,73,1164,64,258,948,1,10,2조,23.550137761401956
PB563434,2008-08-02:11:10:20,0,NV-A32,C0,13.06,2730,52343,29300,1호기,1,1148,71,1147,66,244,941,1,10,3조,15.700127745252173
PB563435,2008-08-02:11:10:40,0,LR-AH32,C0,12.05,2680,53883,27320,1호기,2,1169,69,1161,66,258,941,1,10,4조,15.700268748488279
PB563436,2008-08-02:11:11:21,1,AB/AH32,C0,12.56,2690,53690,42720,2호기,1,1170,78,1161,57,242,909,1,9,4조,23.550271629229886
PB563437,2008-08-02:11:11:44,0,BV-AH32,C0,12.05,2750,54511,42540,2호기,2,1171,71,1162,67,260,936,1,10,4조,23.55014555148359
PB563438,2008-08-02:11:11:11,0,AB/AH32,C0,12.56,2693,53630,42720,3호기,1,1166,67,1157,69,257,938,1,10,2조,23.550354790659455
PB563439,2008-08-02:11:11:33,0,AB/AH32,C0,12.56,2693,53819,42870,3호기,2,1183,78,1166,58,257,936,1,10,4조,23.55005180033797
PB563440,2008-08-02:11:12:03,0,KR-AH32,C0,13.06,2685,53620,29520,1호기,1,1164,69,1157,69,238,942,1,10,4조,15.70008763361313
PB563441,2008-08-02:11:12:30,0,NV-A32,C0,13.06,2790,54853,15690,1호기,2,1157,69,1155,68,256,937,1,10,2조,7.8500998087056155
PB563442,2008-08-02:11:12:59,0,NK-KA32,C0,14.07,2583,51351,14650,2호기,1,1169,79,1164,70,254,950,1,10,1조,7.850010103186179
PB563443,2008-08-02:11:12:33,0,NV-A32,C0,14.58,2513,50587,14550,2호기,2,1174,45,1168,68,262,996,1,10,4조,7.850079515994959
PB563444,2008-08-02:11:12:31,1,KS-SM490A,C0,30.13,2527,26702,31920,3호기,1,1156,51,1155,69,257,1016,1,8,4조,15.700544621931064
PB563445,2008-08-02:11:13:34,1,A283-C,C0,26.24,2516,29965,62120,3호기,2,1172,61,1164,57,254,1034,1,8,3조,31.40094350643435
PB563446,2008-08-02:11:13:16,1,A283-C,C0,26.24,2517,31959,66280,1호기,1,1162,79,1156,69,245,1019,1,8,2조,31.4009127202067
PB563447,2008-08-02:11:13:09,1,NV-A,C0,25.19,2675,38112,40320,1호기,2,1145,46,1149,68,257,1005,1,8,3조,15.700259468282116
PB563448,2008-08-02:11:13:04,1,LR-A,C0,22.15,2500,38854,33780,2호기,1,1178,70,1163,56,251,1025,1,8,3조,15.700380227606711
PB563449,2008-08-02:11:13:48,1,SA283-C,C0,19.18,2529,34246,65200,2호기,2,1171,58,1164,56,252,1025,1,9,2조,39.250058756368745
PB563450,2008-08-02:11:14:47,1,JS-SM490YA,C0,19.1,2040,38774,35580,3호기,1,1145,61,1152,68,273,1033,1,10,2조,23.550590616246915
PB563451,2008-08-02:11:14:39,1,JS-SM490YA,C0,19.1,2040,38774,35580,3호기,2,1168,71,1162,56,261,1035,1,10,1조,23.550590616246915
PB563452,2008-08-02:11:14:33,1,NV-A32,C0,17.1,2346,42741,13460,1호기,1,1171,55,1159,69,252,1013,1,10,2조,7.850119405384323
PB563453,2008-08-02:11:14:43,0,JS-SM490A,C0,14.09,2754,42972,52360,1호기,2,1130,54,1141,66,267,941,1,10,2조,31.40068641427452
PB563454,2008-08-02:11:14:05,0,SA283-C,C0,14.12,3128,39398,68300,2호기,1,1171,69,1168,52,252,957,1,10,3조,39.25049035284746
PB563455,2008-08-02:11:15:43,0,SA283-C,C0,16.14,3125,32934,65200,2호기,2,1173,70,1165,51,250,975,1,10,4조,39.25089486546974
PB563456,2008-08-02:11:15:44,0,SA283-C,C0,16.14,3125,32934,65200,3호기,1,1156,68,1157,65,250,975,1,10,4조,39.25089486546974
PB563457,2008-08-02:11:15:58,0,SA283-C,C0,18.16,3126,31483,70150,3호기,2,1184,67,1167,52,250,991,1,10,3조,39.25064050709252
PB563458,2008-08-02:11:15:52,1,A283-C,C0,19.18,3125,28607,40380,1호기,1,1161,62,1156,69,250,988,1,9,4조,23.55024199251494
PB563459,2008-08-02:11:15:57,0,BV-B,C0,20.43,2999,34888,50340,1호기,2,1146,54,1151,66,248,993,1,8,2조,23.550075574191045
PB563460,2008-08-02:12:20:11,0,SA283-C,C0,20.19,3126,31466,77950,2호기,1,1177,71,1172,50,247,994,1,8,3조,39.25087010816757
PB563461,2008-08-02:12:20:07,0,SA283-C,C0,20.18,3082,32996,80550,2호기,2,1177,73,1164,47,245,989,1,8,3조,39.25097539639663
PB563462,2008-08-02:12:20:43,0,NV-A32,C0,20.14,3026,42578,20370,3호기,1,1165,67,1160,63,256,991,1,8,4조,7.85013962775056
PB563463,2008-08-02:12:20:34,0,SA283-C,C0,20.19,3125,29154,57760,3호기,2,1167,62,1166,60,251,982,1,8,3조,31.400943285477947
PB563464,2008-08-02:12:20:20,1,SA283-C,C0,33.67,3127,19298,47850,1호기,1,1181,72,1166,60,248,1037,1,8,3조,23.550419221327054
PB563465,2008-08-02:12:22:25,0,LR-A,C0,19.93,3112,45576,44380,3호기,1,1170,72,1163,62,251,984,1,10,2조,15.700164559052464
PB563466,2008-08-02:12:22:48,0,LR-A,C0,20.14,2800,51753,22910,3호기,2,1180,63,1170,61,252,993,1,8,2조,7.850043471080538
PB563467,2008-08-02:12:21:06,0,NV-A32,C0,16.6,3137,46650,57210,1호기,2,1175,61,1167,66,252,960,1,10,1조,23.550367734608127
PB563468,2008-08-02:12:21:29,0,NV-A32,C0,15.08,3138,51471,19120,2호기,1,1192,76,1173,42,241,956,1,10,4조,7.850024300898165
PB563469,2008-08-02:12:22:13,0,LR-AH32,C0,15.08,3060,51927,18810,2호기,2,1176,71,1164,57,250,927,1,10,1조,7.850056723082597
PB563470,2008-08-02:12:22:25,1,LR-AH32,C0,13.57,2801,50842,30340,1호기,1,1181,63,1168,64,254,947,0,10,2조,15.700012336640194
PB563471,2008-08-02:12:23:57,0,LR-AH32,C0,13.57,2815,53723,16110,1호기,2,1177,63,1165,62,252,941,1,10,1조,7.850133401832795
PB563472,2008-08-02:12:23:11,1,LR-AH32,C0,19.63,3097,47041,22450,3호기,1,1177,72,1164,60,253,1004,1,10,4조,7.85015613984917
PB563473,2008-08-02:12:23:29,0,NV-A32,C0,19.63,2903,49358,44160,3호기,2,1177,72,1166,60,248,998,1,10,1조,15.700163518364203
PB563474,2008-08-02:12:23:51,0,NK-KA32,C0,13.06,2800,52672,60480,2호기,1,1183,73,1165,55,257,937,1,10,3조,31.40008075635584
PB563475,2008-08-02:12:24:29,0,NK-KA32,C0,13.06,3083,49640,31380,2호기,2,1188,71,1166,58,256,942,1,10,4조,15.700173970215552
PB563476,2008-08-02:12:24:53,0,NK-KA32,C0,13.06,2850,52809,61720,1호기,1,1192,63,1173,64,255,938,1,10,1조,31.400020871652888
PB563477,2008-08-02:12:24:54,0,NK-KA32,C0,13.06,2865,52873,62120,1호기,2,1185,62,1170,63,253,943,1,10,3조,31.400003100482405
PB563478,2008-08-02:12:24:12,0,LR-A,C0,13.06,3092,49180,46770,2호기,1,1164,70,1159,52,236,915,1,10,1조,23.55028587273584
PB563479,2008-08-02:12:25:26,0,NV-A32,C0,13.06,2997,47842,14700,2호기,2,1171,65,1163,58,255,928,1,10,1조,7.850152401388018
PB563480,2008-08-02:12:25:51,0,NK-KA32,C0,13.06,2995,53965,49710,3호기,1,1182,62,1166,65,252,931,1,10,1조,23.55003614770658
PB563481,2008-08-02:12:25:42,0,NK-KA32,C0,13.06,2800,52672,60480,3호기,2,1176,70,1162,67,254,932,1,10,2조,31.40008075635584
PB563482,2008-08-02:12:25:02,0,NK-KA32,C0,13.06,2857,49128,28780,1호기,1,1186,66,1170,59,254,926,1,10,3조,15.700312181324005
PB563483,2008-08-02:13:30:39,0,GL-A32,C0,12.05,2835,54443,14600,1호기,2,1172,60,1161,74,255,919,1,10,2조,7.850018808477042
PB563484,2008-08-02:13:30:47,0,LR-AH32,C0,12.05,2855,53469,28880,2호기,1,1161,56,1160,54,237,891,1,10,3조,15.700083695322295
PB563485,2008-08-02:13:30:03,0,NV-A32,C0,12.05,2950,51747,14440,2호기,2,1181,71,1164,56,254,926,1,10,1조,7.8500595888971905
PB563486,2008-08-02:13:31:39,0,LR-AH32,C0,12.05,2855,51765,27960,3호기,1,1172,70,1163,71,252,936,1,10,3조,15.700294153728676
PB563487,2008-08-02:13:31:03,1,LR-AH32,C0,12.05,2855,51765,27960,3호기,2,1180,65,1162,65,255,878,0,10,1조,15.700294153728676
PB563488,2008-08-02:13:31:36,0,GL-A32,C0,12.05,2835,54816,14700,1호기,1,1177,60,1163,65,251,887,1,10,1조,7.85000409545928
PB563489,2008-08-02:13:31:03,0,LR-AH32,C0,12.05,2855,52321,28260,1호기,2,1159,54,1156,74,252,894,1,10,3조,15.700119645814562
PB563490,2008-08-02:13:33:09,0,LR-AH32,C0,12.05,2855,52913,28580,2호기,1,1160,60,1159,77,262,894,1,10,2조,15.700254039353071
PB563491,2008-08-02:13:33:44,0,LR-AH32,C0,12.05,2855,53284,28780,2호기,2,1160,69,1160,65,231,888,1,10,4조,15.700041864941726
PB563492,2008-08-02:13:32:27,0,LR-AH32,C0,12.05,2855,52913,28580,3호기,1,1185,79,1163,58,249,902,1,10,2조,15.700254039353071
PB563493,2008-08-02:13:32:00,0,NV-A32,C0,12.56,2858,51457,14500,3호기,2,1174,65,1168,58,249,908,1,10,2조,7.850036491746766
PB563494,2008-08-02:13:33:26,0,NV-A32,C0,12.05,3088,50530,14760,1호기,1,1183,66,1166,68,257,896,1,10,4조,7.850055381608871
PB563495,2008-08-02:13:33:52,0,NV-A32,C0,12.05,3018,50056,14290,1호기,2,1173,55,1164,78,259,891,1,10,2조,7.850002670187472
PB563496,2008-08-02:13:34:15,0,LR-AH32,C0,12.05,3185,52244,31480,2호기,1,1184,61,1161,63,262,916,1,10,3조,15.700078335361312
PB563497,2008-08-02:13:34:44,0,LR-AH32,C0,12.05,3095,53763,47220,2호기,2,1174,74,1159,61,238,919,1,10,2조,23.55021020528243
PB563498,2008-08-02:13:34:16,0,LR-AH32,C0,12.05,3095,53763,47220,3호기,1,1179,65,1163,71,242,913,1,10,1조,23.55021020528243
PB563499,2008-08-02:13:34:32,0,LR-A,C0,16.6,3528,32323,14860,3호기,2,1156,65,1160,72,244,938,1,10,1조,7.8500149294816906
PB563500,2008-08-02:13:35:24,0,NV-A32,C0,18.11,3260,40586,37620,1호기,1,1174,66,1160,71,240,965,1,10,3조,15.700247177596822
PB563501,2008-08-02:14:40:33,0,LR-A,C0,18.92,3401,41455,20940,1호기,2,1142,55,1151,86,246,948,1,10,4조,7.850042244207585
PB563502,2008-08-02:13:35:36,1,NK-KA,C0,20.14,3580,38639,21870,3호기,1,1172,72,1164,62,245,1005,1,8,2조,7.850194408294908
PB563503,2008-08-02:13:35:02,0,NV-A32,C0,15.08,3212,48233,18340,2호기,1,1150,61,1169,61,238,947,1,10,1조,7.850154028373848
PB563504,2008-08-02:14:40:00,0,NV-A32,C0,16.6,3441,43688,19590,2호기,2,1169,65,1163,77,247,948,1,10,4조,7.850178135136244
PB563505,2008-08-02:13:35:19,0,LR-A,C0,15.59,3363,48740,80240,3호기,2,1179,86,1163,45,243,940,1,10,2조,31.400199883513572
PB563506,2008-08-02:14:40:53,0,GL-A32,C0,16.09,3400,54209,69840,3호기,1,1186,82,1169,45,239,957,1,10,2조,23.550377535515537
